,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power
692,Mahindra Bolero 2011-2019 DI - AC BS III,2016,600000,120000,1,1,0,0,15.96,2523.0,63.0
693,Fiat Linea 1.3 Active,2010,200000,80000,1,1,0,1,20.4,1248.0,91.2
694,Hyundai Grand i10 CRDi Sportz,2015,425000,91500,1,1,0,1,24.0,1120.0,70.0
695,Maruti Swift Dzire VDi,2012,420000,120000,1,1,0,1,19.3,1248.0,73.9
696,Hyundai i20 1.4 CRDi Era,2012,321000,100000,1,1,0,1,23.0,1396.0,90.0
697,Mahindra Xylo D4 BSIV,2012,350000,120000,1,1,0,3,14.0,2498.0,112.0
698,Honda Amaze i-VTEC Privilege Edition,2017,490000,80000,0,1,0,0,17.8,1198.0,86.7
699,Mahindra Scorpio S2 7 Seater,2015,680000,90000,1,1,0,0,15.4,2523.0,75.0
700,Maruti Alto K10 VXI,2016,298000,70000,0,1,0,0,23.95,998.0,67.05
701,Mahindra Scorpio M2DI,2011,450000,150000,1,1,0,3,13.5,2179.0,115.0
702,Tata Indica Vista Quadrajet ZX,2012,250000,40000,1,1,0,0,22.3,1248.0,74.0
703,Ford Endeavour Hurricane Limited Edition,2013,1075000,110000,1,1,1,2,12.8,2953.0,156.0
704,Hyundai Grand i10 Sportz,2017,500000,20000,0,1,0,0,18.9,1197.0,82.0
705,Ford Freestyle Trend Petrol BSIV,2019,681000,10000,0,1,0,0,19.0,1194.0,94.68
706,Mahindra XUV500 W8 2WD,2014,650000,90000,1,1,0,1,15.1,2179.0,140.0
707,Chevrolet Aveo U-VA 1.2 LS,2008,80000,70000,0,1,0,1,15.26,1150.0,74.9
708,Mahindra Bolero SLX 2WD BSIII,2009,290000,120000,1,1,0,0,13.6,2523.0,63.0
709,Mahindra Scorpio 2.6 SPORTZ CRDe,2006,220000,120000,1,1,0,1,10.5,2179.0,120.0
710,Hyundai Santro Xing GL,2009,120000,90000,0,1,0,1,0.0,1086.0,62.0
711,Datsun RediGO Sport,2017,229999,80000,0,1,0,0,22.7,799.0,53.0
712,Mahindra Bolero ZLX BSIII,2003,150000,132478,1,1,0,1,13.6,2523.0,63.0
713,Maruti Swift Dzire VXI,2014,500000,45000,0,1,0,0,19.1,1197.0,85.8
714,Tata Indigo CS LS (TDI) BS III,2013,175000,120000,1,1,0,0,19.09,1396.0,69.0
715,Ford Freestyle Titanium Petrol BSIV,2019,720000,10000,0,1,0,0,19.0,1194.0,94.68
716,Maruti 800 AC,2012,100000,51000,0,1,0,0,16.1,796.0,37.0
717,Honda Civic 1.8 V AT,2009,250000,105000,0,1,1,1,12.9,1799.0,130.0
718,Mahindra XUV500 W6 2WD,2014,810000,100000,1,1,0,0,15.1,2179.0,140.0
719,Maruti Alto LXi,2010,165000,30000,0,1,0,2,19.7,796.0,46.3
720,Chevrolet Tavera Neo 3 LS 10 Str,2016,409999,60000,1,1,0,1,12.2,1994.0,105.3
721,Maruti Swift VDI,2013,430000,86000,1,1,0,1,22.9,1248.0,74.0
722,Datsun GO Plus D1,2015,300000,15000,0,1,0,0,20.62,1198.0,67.0
723,Maruti Swift Dzire VDi,2011,350000,137500,1,1,0,2,19.3,1248.0,73.9
724,Renault KWID 1.0 RXT Optional,2018,400000,60000,0,1,0,0,23.01,999.0,67.0
725,Chevrolet Enjoy 1.3 TCDi LS 7,2016,420000,70000,1,1,0,0,18.2,1248.0,73.74
726,Maruti Wagon R VXI BS IV,2015,430000,5000,0,1,0,0,20.51,998.0,67.04
727,Maruti Swift VXI Optional,2017,573000,30000,0,1,0,0,20.4,1197.0,81.8
728,Hyundai EON D Lite Plus,2015,210000,40000,0,1,0,0,21.1,814.0,55.2
729,Renault Duster 110PS Diesel RxZ,2015,600000,60000,1,1,0,0,19.01,1461.0,108.45
730,Honda City 2017-2020 GXi,2008,150000,70000,0,1,0,2,17.7,1497.0,78.0
731,Tata Tigor 1.2 Revotron XT,2019,550000,15000,0,1,0,0,20.3,1199.0,84.0
732,Maruti Swift Dzire ZDi,2011,320000,110000,1,1,0,1,19.3,1248.0,73.9
733,Maruti 800 AC,2000,80000,70000,0,1,0,3,16.1,796.0,37.0
734,Honda Amaze VX Diesel BSIV,2019,800000,10000,1,1,0,0,27.4,1498.0,98.63
735,Maruti Ertiga ZXI,2013,500000,60000,0,1,0,0,16.02,1373.0,93.7
736,Tata Manza Aura Quadrajet,2011,229999,110000,1,1,0,1,18.8,1248.0,90.0
737,Hyundai i20 Asta 1.2,2015,630000,35000,0,1,0,0,18.6,1197.0,81.83
738,Maruti Omni E MPI STD BS IV,2016,190000,70000,0,1,0,1,16.8,796.0,34.2
739,Mahindra Bolero VLX CRDe,2011,450000,100000,1,1,0,1,13.6,2523.0,63.0
740,Maruti Alto Std,2008,95000,120000,0,1,0,0,19.7,796.0,46.3
741,Maruti Omni 8 Seater BSII,2009,101000,90000,0,1,0,3,19.7,796.0,35.0
742,Honda Amaze E i-Dtech,2016,500000,70000,1,1,0,1,25.8,1498.0,98.6
743,Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,1019999,88000,1,1,0,1,12.99,2494.0,100.6
744,Hyundai EON Era Plus,2012,244000,38000,0,1,0,0,21.1,814.0,55.2
745,Maruti Wagon R LXI BS IV,2013,250000,90000,0,1,0,1,20.51,998.0,67.04
746,Maruti Baleno Alpha 1.2,2016,660000,60000,0,1,0,0,21.4,1197.0,83.1
747,Hyundai i20 Magna,2010,270000,60000,0,1,0,0,18.5,1197.0,80.0
748,Maruti Ritz VDi,2012,280000,156060,1,1,0,0,23.2,1248.0,73.94
749,Hyundai Creta 1.6 CRDi SX,2017,1050000,60000,1,1,0,0,19.67,1582.0,126.2
750,Maruti Swift Dzire VXI,2017,525000,70000,0,1,0,0,20.85,1197.0,83.14
751,Hyundai Verna 1.6 CRDi S,2017,850000,35000,1,1,0,0,23.9,1582.0,126.2
752,Mahindra XUV500 W10 1.99 mHawk,2016,1165000,50000,1,1,0,0,16.0,1997.0,140.0
753,Maruti Swift ZXI,2012,345000,50000,0,1,0,1,18.6,1197.0,85.8
754,Hyundai Santro Xing XS,2007,95000,100000,0,1,0,1,17.8,1086.0,63.0
755,Maruti Alto 800 LXI,2015,241000,15000,0,1,0,0,22.74,796.0,47.3
756,Maruti Alto 800 LXI,2015,235000,20000,0,1,0,0,22.74,796.0,47.3
757,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,615000,80000,1,1,0,0,22.77,1498.0,98.59
758,Mahindra Verito Vibe 1.5 dCi D4,2014,350000,110000,1,1,0,1,20.8,1461.0,64.1
759,Maruti Wagon R Stingray VXI,2014,350000,35000,0,1,0,0,20.51,998.0,67.04
760,Maruti Wagon R Stingray VXI,2014,380000,35000,0,1,0,0,20.51,998.0,67.04
761,Tata Sumo Gold EX BSIII,2017,400000,140000,1,1,0,0,14.07,2956.0,69.01
762,Maruti Zen Estilo LXI BS IV,2010,220000,40000,0,1,0,0,19.0,998.0,67.1
763,Tata Sumo GX,2008,270000,110000,1,1,0,2,14.4,2179.0,120.0
764,Maruti Ritz ZXi,2012,275000,70000,0,1,0,1,18.5,1197.0,85.8
765,Tata Indica Vista Terra 1.4 TDI,2009,125000,100000,1,1,0,1,17.0,1405.0,71.0
766,Hyundai i10 Sportz 1.1L,2015,360000,20000,0,1,0,0,19.81,1086.0,68.05
767,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,550000,15000,0,1,0,0,18.9,1197.0,81.86
768,Ford Fiesta 1.4 ZXi Duratec,2011,200000,70000,0,1,0,1,16.6,1388.0,68.0
769,Mahindra KUV 100 mFALCON G80 K2,2016,327000,20000,0,1,0,0,18.15,1198.0,82.0
770,Hyundai i10 Sportz 1.1L,2016,425000,15000,0,1,0,0,19.81,1086.0,68.05
771,Maruti Swift Dzire VDI,2017,620000,107000,1,1,0,0,28.4,1248.0,74.02
772,Tata Indica Vista Aqua 1.3 Quadrajet BSIV,2011,130000,54000,1,1,0,1,18.4,1248.0,75.0
773,Maruti Alto LX,2009,120000,58000,0,1,0,0,19.7,796.0,46.3
774,Mahindra Scorpio SLE BSIV,2011,400000,110000,1,1,0,1,12.05,2179.0,120.0
775,Hyundai Verna CRDi SX,2007,185000,90000,1,1,0,3,16.8,1493.0,110.0
776,Hyundai EON 1.0 Kappa Magna Plus,2015,204999,43000,0,1,0,1,20.3,998.0,68.05
777,Maruti Swift Dzire VDI,2017,625000,43000,1,1,0,0,28.4,1248.0,74.02
778,Maruti Ertiga ZDI,2013,600000,60000,1,1,0,0,20.77,1248.0,88.8
779,Tata Indigo GLX,2011,150000,150000,0,1,0,0,12.8,1396.0,85.0
780,Chevrolet Sail Hatchback Petrol,2013,229999,46000,0,1,0,0,18.2,1199.0,84.8
781,Maruti Omni E MPI STD BS IV,2018,220000,10000,0,1,0,0,16.8,796.0,34.2
782,Hyundai i20 Asta Option 1.2,2016,576000,35000,0,1,0,0,18.6,1197.0,81.83
783,Renault KWID RXT,2016,265000,50000,0,1,0,0,25.17,799.0,53.3
784,Hyundai Verna 1.6 VGT CRDi,2011,300000,80000,1,1,0,0,22.32,1582.0,126.32
785,Tata Tigor 1.05 Revotorq XZ,2017,420000,110000,1,1,0,0,24.7,1047.0,69.0
786,Maruti Ertiga VDI,2015,750000,14000,1,1,0,0,20.77,1248.0,88.76
787,Maruti Alto 800 CNG LXI,2012,165000,60000,2,1,0,1,30.46,796.0,47.3
788,Renault KWID RXT,2017,290000,28000,0,1,0,0,25.17,799.0,53.3
789,Hyundai EON Era,2011,160000,57000,0,1,0,0,21.1,814.0,55.2
790,Maruti Swift Dzire ZDI,2017,695000,50000,1,1,0,0,26.59,1248.0,74.0
791,Maruti Wagon R Duo Lxi,2012,231000,70000,3,1,0,0,26.2,998.0,58.2
792,Toyota Corolla Altis D-4D J,2015,1050000,60000,1,1,0,0,21.43,1364.0,87.2
793,Hyundai i20 Sportz 1.2,2013,400000,70000,0,1,0,0,18.5,1197.0,82.85
794,Hyundai i20 2015-2017 Sportz 1.2,2016,500000,40000,0,1,0,0,18.6,1197.0,81.83
795,Tata Manza Aqua Quadrajet BS IV,2010,150000,120000,1,1,0,1,21.12,1248.0,88.8
796,Mahindra Xylo H4,2016,400000,140000,1,1,0,1,14.02,2179.0,118.3
797,Tata Indigo LS,2010,120000,100000,1,1,0,1,17.0,1405.0,70.0
798,Mahindra Xylo H4,2014,480000,120000,1,1,0,1,14.02,2179.0,118.3
799,Tata Indigo CS LX (TDI) BS-III,2013,200000,120000,1,1,0,1,19.09,1405.0,69.01
800,Ford Fiesta Classic 1.4 Duratorq CLXI,2012,300000,64000,1,1,0,1,17.8,1399.0,67.0
801,Maruti Celerio VXI,2015,350000,25000,0,1,0,0,23.1,998.0,67.04
802,Renault Triber RXT BSIV,2019,580000,12000,0,1,0,0,20.0,999.0,72.0
803,Chevrolet Beat Diesel LT,2012,200000,70000,1,1,0,1,25.44,936.0,57.6
804,Mahindra Scorpio Getaway,2016,750000,120000,1,1,0,0,11.0,2179.0,120.0
805,Renault KWID RXT,2016,261000,90000,0,1,0,0,25.17,799.0,53.3
806,Chevrolet Sail 1.2 LS ABS,2015,371000,40000,0,1,0,0,18.2,1199.0,82.4
807,Mahindra Bolero DI Non AC BSIII,2010,320000,300000,1,1,0,2,13.6,2523.0,63.0
808,Tata Indigo CS LX (TDI) BS III,2012,204999,120000,1,1,0,1,19.09,1396.0,69.0
809,Hyundai Accent GLX,2003,110000,90000,0,1,0,1,13.2,1495.0,94.0
810,Ford Fusion 1.4 TDCi Diesel,2009,150000,100000,1,1,0,3,17.7,1399.0,68.0
811,Mahindra Bolero 2011-2019 SLX,2016,625000,90000,1,1,0,1,15.96,2523.0,62.1
812,Mahindra Scorpio 1.99 S10,2017,1300000,50000,1,1,0,1,15.4,1997.0,120.0
813,Skoda Octavia Ambition 2.0 TDI MT,2015,900000,168000,1,1,0,0,20.6,1968.0,141.0
814,Ford Figo Diesel Titanium,2010,180000,110000,1,1,0,1,20.0,1399.0,68.0
815,Mahindra Bolero SLX,2010,421000,120000,1,1,0,1,13.6,2523.0,63.0
816,Honda WR-V i-DTEC VX,2017,900000,40000,1,1,0,0,25.5,1498.0,98.6
817,Honda City 2017-2020 GXi,2006,165000,110000,0,1,0,1,17.7,1497.0,78.0
818,Hyundai i20 Magna 1.4 CRDi,2010,270000,100000,1,1,0,3,21.9,1396.0,90.0
819,Maruti Vitara Brezza VDi,2017,750000,40000,1,1,0,0,24.3,1248.0,88.5
820,Hyundai Elite i20 Petrol Asta Option,2019,750000,30000,0,1,0,0,18.6,1197.0,81.86
821,Maruti 800 Std,2002,40000,80000,0,1,0,2,16.1,796.0,37.0
822,Ford Figo Diesel Titanium,2011,190000,90000,1,1,0,1,20.0,1399.0,68.0
823,Toyota Innova 2.5 G4 Diesel 7-seater,2009,395000,200000,1,1,0,2,12.8,2494.0,102.0
824,Toyota Fortuner 3.0 Diesel,2010,800000,125000,1,1,0,1,11.5,2982.0,171.0
825,Hyundai i20 1.2 Sportz,2011,315000,80000,0,1,0,0,17.0,1197.0,80.0
826,Audi A4 2.0 TDI,2014,1600000,44000,1,1,1,1,16.55,1968.0,147.51
827,Toyota Etios GD,2013,409999,90000,1,1,0,0,23.59,1364.0,67.04
828,Hyundai i20 Sportz 1.2,2013,340000,70000,0,1,0,0,18.5,1197.0,82.85
829,Hyundai EON Magna Plus,2015,270000,43000,0,1,0,0,21.1,814.0,55.2
830,Tata Zest Quadrajet 1.3 75PS XE,2017,280000,80000,1,1,0,0,22.95,1248.0,74.0
831,Tata Indica Vista Quadrajet VX,2012,130000,60000,1,1,0,0,22.3,1248.0,74.0
832,Hyundai EON Era Plus,2014,260000,18945,0,1,0,0,21.1,814.0,55.2
833,Hyundai Grand i10 1.2 CRDi Asta,2018,710000,70000,1,1,0,0,24.0,1186.0,73.97
834,Maruti Eeco Smiles 7 Seater Standard,2013,204999,100000,0,1,0,2,15.1,1196.0,73.0
835,Datsun GO Plus Anniversary Edition,2017,300000,60000,0,1,0,0,20.62,1198.0,67.0
836,Maruti Swift Dzire VDi,2009,180000,144000,1,1,0,1,19.3,1248.0,73.9
837,Mahindra TUV 300 T6 Plus,2016,700000,120000,1,1,0,0,18.49,1493.0,100.0
838,Hyundai i20 1.4 CRDi Magna,2012,320000,107825,1,1,0,1,21.9,1396.0,90.0
839,Maruti Alto 800 VXI Plus,2020,370000,15000,0,1,0,0,22.05,796.0,47.3
840,Renault KWID RXT Optional,2018,340000,10000,0,1,0,0,25.17,799.0,53.3
841,Maruti XL6 Alpha,2019,1040000,1620,0,1,0,0,19.01,1462.0,103.2
842,Hyundai i20 Active SX Diesel,2018,750000,30000,1,1,0,0,21.19,1396.0,88.76
843,Mahindra TUV 300 Plus P4 BSIV,2018,600000,70000,1,1,0,0,18.49,2179.0,120.0
844,Mahindra Bolero 2011-2019 DI - AC BS III,2016,550000,70000,1,1,0,0,15.96,2523.0,63.0
845,Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013,600000,95000,1,1,0,1,12.99,2494.0,100.57
846,Tata Tigor 1.05 Revotorq XZ Option,2017,550000,50000,1,1,0,0,24.7,1047.0,69.0
847,Honda City i DTEC VX Option,2015,750000,160000,1,1,0,0,25.1,1498.0,98.6
848,Hyundai Santro Magna BSIV,2019,450000,10000,0,1,0,0,20.3,1086.0,68.0
849,Maruti Ertiga VDI,2012,400000,100000,1,1,0,2,20.77,1248.0,88.76
850,Maruti Swift VDI Optional,2016,520000,50000,1,1,0,1,25.2,1248.0,74.0
851,Maruti Alto K10 Knightracer,2013,199000,60000,0,1,0,1,20.2,998.0,67.1
852,Chevrolet Beat Diesel LT,2012,150000,110000,1,1,0,0,25.44,936.0,57.6
853,Hyundai i20 Active 1.4 SX with AVN,2016,540000,80000,1,1,0,2,21.19,1396.0,88.73
854,Maruti SX4 ZDI,2011,250000,85000,1,1,0,1,21.5,1248.0,88.8
855,Maruti Wagon R LXI Minor,2010,200000,90000,0,1,0,1,18.9,1061.0,67.0
856,Tata Indica V2 2001-2011 eLX,2011,130000,90000,1,1,0,1,25.0,1396.0,69.0
857,Maruti 800 AC,2007,90000,90000,0,1,0,0,16.1,796.0,37.0
858,Hyundai Verna 1.6 SX,2012,450000,120000,1,1,0,1,22.32,1582.0,126.32
859,Hyundai Verna CRDi SX ABS,2009,280000,120000,1,1,0,0,18.1,1493.0,110.0
860,Tata New Safari 3L Dicor LX 4x2,2007,280000,160000,1,1,0,1,13.93,2956.0,138.1
861,Maruti Zen LXI,2006,120000,141000,0,1,0,1,17.3,993.0,60.0
862,Maruti Swift Ldi BSIII,2008,290000,100000,1,1,0,1,17.8,1248.0,75.0
863,Hyundai Creta 1.4 EX Diesel,2019,1000000,15000,1,1,0,0,22.1,1396.0,88.7
864,Maruti Swift Dzire VDi,2012,415000,108000,1,1,0,0,19.3,1248.0,73.9
865,Maruti Swift Dzire VDI,2012,415000,108000,1,1,0,0,23.4,1248.0,74.0
866,Chevrolet Beat Diesel LT,2015,240000,55000,1,1,0,0,25.44,936.0,56.3
867,Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,2010,250000,37944,1,1,0,0,18.4,1248.0,75.0
868,Ford Figo Diesel EXI,2011,175000,90400,1,1,0,0,20.0,1399.0,68.0
869,Hyundai Verna CRDi SX,2008,220000,85000,1,1,0,1,16.8,1493.0,110.0
870,Maruti Zen D,2003,85000,120000,1,1,0,2,20.8,1527.0,58.0
871,Maruti Swift Dzire VXI 1.2,2019,675000,5000,0,1,0,0,21.21,1197.0,81.8
872,Renault Duster 85PS Diesel RxL,2016,535000,50000,1,1,0,0,19.87,1461.0,83.8
873,Renault Triber RXZ BSIV,2019,675000,5000,0,1,0,0,20.0,999.0,72.0
874,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,800000,90000,1,1,0,0,24.3,1248.0,88.5
875,Maruti Ertiga ZDI,2012,425000,96000,1,1,0,1,20.77,1248.0,88.8
876,Maruti Eeco 5 Seater AC BSIV,2011,150000,80000,0,1,0,2,15.37,1196.0,73.0
877,Maruti Zen Estilo 1.1 LXI BSIII,2007,90000,60000,0,1,0,1,18.2,1061.0,64.0
878,Mahindra XUV500 W6 2WD,2015,850000,90000,1,1,0,0,15.1,2179.0,140.0
879,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2008,330000,193623,1,1,0,1,12.8,2494.0,102.0
880,Hyundai i20 1.4 Asta Option,2017,850000,63186,1,1,0,0,22.54,1396.0,88.73
881,Mahindra Bolero SLX,2008,305000,219000,1,1,0,1,13.6,2523.0,63.0
882,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,910000,110000,1,1,0,1,12.99,2494.0,100.0
883,Toyota Innova 2.5 VX 8 STR,2012,1100000,151000,1,1,0,0,12.8,2494.0,102.0
884,Maruti Baleno Zeta Automatic,2019,675000,5000,0,1,1,0,21.4,1197.0,83.1
885,Maruti Alto LXi BSIII,2010,150000,91500,0,1,0,0,19.7,796.0,46.3
886,Maruti Swift VDI BSIV,2015,550000,23000,1,1,0,0,25.2,1248.0,74.0
887,Volkswagen Vento Diesel Highline,2012,350000,40000,1,1,0,0,20.54,1598.0,103.6
888,Maruti Ritz VDi,2012,300000,70000,1,1,0,0,23.2,1248.0,73.94
889,Toyota Innova Crysta 2.8 GX AT BSIV,2018,1745000,10000,1,1,1,0,11.36,2755.0,171.5
890,Mahindra Scorpio 2009-2014 EX 2WD 7S,2014,611000,90000,1,1,0,1,14.0,2523.0,75.0
891,Honda Brio S MT,2016,400000,68000,0,1,0,0,19.4,1198.0,86.8
892,Hyundai Elantra CRDi SX,2013,700000,120000,1,1,0,0,22.7,1582.0,126.24
893,Chevrolet Sail Hatchback LS ABS,2013,300000,65000,1,1,0,0,22.1,1248.0,76.9
894,Hyundai Getz GLS,2005,65000,85000,0,1,0,0,15.3,1341.0,83.0
895,Maruti Wagon R VXI BS IV,2011,200000,94000,0,1,0,2,18.9,998.0,67.1
896,Hyundai i20 Asta Option 1.4 CRDi,2015,650000,100000,1,1,0,0,22.54,1396.0,88.73
897,Hyundai i20 Asta Option 1.4 CRDi,2015,650000,80000,1,1,0,0,22.54,1396.0,88.73
898,Volkswagen Polo Diesel Trendline 1.2L,2013,350000,80000,1,1,0,2,22.07,1199.0,73.9
899,Tata Indica V2 DL BSIII,2011,75000,140500,1,1,0,2,17.88,1396.0,52.8
900,Maruti Swift Dzire VXi,2010,240000,143000,0,1,0,0,17.5,1298.0,85.8
901,Maruti Alto K10 2010-2014 VXI,2013,240000,60000,0,1,0,0,20.92,998.0,67.1
902,Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,2011,180000,120000,1,1,0,1,18.4,1248.0,75.0
903,Hyundai Santa Fe 4WD AT,2014,900000,80000,1,1,1,1,13.01,2199.0,194.3
904,Mahindra Thar DI 4X4,2014,425000,63000,1,1,0,1,18.06,2523.0,63.0
905,Chevrolet Spark 1.0 LT,2009,95000,120000,0,1,0,2,18.0,995.0,62.0
906,Maruti Swift Dzire VDI,2018,811000,100000,1,1,0,0,28.4,1248.0,74.02
907,Hyundai Verna VTVT 1.6 SX Option,2018,1100000,60000,0,1,0,0,17.0,1591.0,121.3
908,Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2013,600000,90000,1,1,0,0,13.58,2499.0,72.4
909,Maruti Ertiga VDI,2014,550000,50000,1,1,0,1,20.77,1248.0,88.76
910,Mahindra Scorpio S4 Plus 4WD,2015,715000,70000,1,1,0,0,15.4,2179.0,120.0
911,Tata Indigo LS BSII,2006,100000,120000,1,1,0,2,16.1,1405.0,70.0
912,Mahindra Scorpio EX,2013,500000,195000,1,1,0,0,14.0,2523.0,75.0
913,Maruti Wagon R Stingray VXI,2013,350000,40000,0,1,0,0,20.51,998.0,67.04
914,Tata Indica V2 DLS TC,2008,100000,40000,1,1,0,0,16.8,1405.0,62.0
915,Tata Safari DICOR 2.2 EX 4x2,2012,325000,120000,1,1,0,0,13.93,2179.0,138.03
916,Maruti Wagon R LXI BS IV,2012,220000,360003,0,1,0,1,18.9,998.0,67.1
917,Maruti 800 AC,1999,55000,60000,0,1,0,1,16.1,796.0,37.0
918,Renault KWID RXT,2016,330000,20000,0,1,0,0,25.17,799.0,53.3
919,Mahindra Bolero 2011-2019 EX NON AC,2014,480000,37000,1,1,0,0,15.96,2523.0,62.1
920,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2018,950000,57000,1,1,0,1,25.1,1248.0,88.5
921,Hyundai Verna Transform SX VGT CRDi,2011,300000,110000,1,1,0,1,16.2,1493.0,110.0
922,Hyundai Verna Xi (Petrol),2006,170000,110000,0,1,0,3,13.9,1599.0,103.2
923,Toyota Innova 2.5 EV (Diesel) PS 8 Seater BS IV,2013,850000,120000,1,1,0,1,12.99,2494.0,100.57
924,Tata Tigor 2017-2020 XZ Plus Diesel,2019,900000,8079,1,0,0,0,24.7,1047.0,69.0
925,Toyota Innova 2.5 Z Diesel 7 Seater BS IV,2015,1325000,114368,1,0,0,1,12.99,2494.0,100.6
926,Ford Fiesta Classic 1.4 Duratorq CLXI,2012,350000,79990,1,0,0,1,17.8,1399.0,67.0
927,Ford Figo Diesel Titanium,2012,425000,81632,1,0,0,0,20.0,1399.0,68.0
928,Ford Aspire Titanium Diesel BSIV,2016,600000,155201,1,0,0,0,26.1,1498.0,99.23
929,Ford Ecosport 1.5 DV5 MT Titanium,2014,750000,101504,1,0,0,0,22.7,1498.0,89.84
930,Ford Fiesta Classic 1.4 Duratorq CLXI,2012,450000,90165,1,0,0,0,17.8,1399.0,67.0
931,Ford Figo Titanium Diesel BSIV,2010,325000,86017,1,0,0,1,25.5,1498.0,99.23
932,Mahindra XUV500 W8 2WD,2013,900000,85036,1,0,0,1,15.1,2179.0,140.0
933,Ford EcoSport 1.5 TDCi Titanium BSIV,2013,600000,125531,1,0,0,1,22.77,1498.0,98.59
934,Hyundai Verna VTVT 1.6 SX Option,2019,1100000,10000,0,1,0,0,17.0,1591.0,121.3
935,Tata Tiago 1.2 Revotron XZ,2017,520000,20000,0,1,0,0,23.84,1199.0,84.0
936,Mahindra Scorpio S10 7 Seater,2015,885000,170000,1,1,0,0,15.4,2179.0,120.0
937,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,950000,40000,1,1,1,0,21.5,1497.0,108.5
938,Honda City 1.5 E MT,2008,229999,120000,0,1,0,1,17.0,1497.0,118.0
939,Maruti Ritz VDi,2013,409999,100000,1,1,0,2,23.2,1248.0,73.94
940,Ford Fiesta EXi 1.4 TDCi Ltd,2011,300000,110000,1,1,0,2,17.8,1399.0,68.0
941,Tata Indica V2 DLG TC,2008,175000,120000,1,1,0,2,16.8,1405.0,68.0
942,Maruti Alto LX,2000,108000,206000,0,1,0,3,19.7,796.0,46.3
943,Maruti Celerio ZXI,2017,425000,40000,0,1,0,1,23.1,998.0,67.04
944,Chevrolet Optra Magnum 2.0 LS,2011,272000,170000,1,1,0,3,16.52,1991.0,123.7
945,Hyundai i10 Magna 1.1L,2013,310000,70000,0,1,0,0,19.81,1086.0,68.05
946,Hyundai Creta 1.4 CRDi S Plus,2017,1125000,105000,1,1,0,0,21.38,1396.0,88.7
947,Hyundai Xcent 1.2 Kappa S Option,2014,450000,46000,0,1,0,1,19.1,1197.0,81.86
948,Volkswagen Polo Diesel Highline 1.2L,2011,388000,80000,1,1,0,1,22.07,1199.0,73.9
949,Hyundai Verna Transform SX VTVT,2011,400000,60000,0,1,0,0,16.2,1599.0,103.2
950,Honda City i DTEC VX,2015,760000,70000,1,1,0,2,25.1,1498.0,98.6
951,Maruti Alto LXi,2009,120000,90000,0,1,0,0,19.7,796.0,46.3
952,Maruti Swift Dzire VDI,2019,757000,25000,1,1,0,0,28.4,1248.0,74.02
953,Maruti Alto 800 VXI,2015,270000,53000,0,1,0,1,22.74,796.0,47.3
954,Tata Sumo MKII GX BS IV,2011,250000,90000,1,1,0,1,13.55,2179.0,118.35
955,Toyota Innova Crysta 2.5 VX BS IV,2011,800000,60000,1,1,0,0,12.8,2494.0,102.0
956,Toyota Fortuner 4x2 Manual,2014,1380000,150000,1,1,0,0,13.0,2982.0,168.5
957,Mahindra Thar CRDe AC,2014,700000,24000,1,1,0,0,16.55,2498.0,105.0
958,Honda Mobilio S i DTEC,2016,450000,100000,1,1,0,1,24.2,1498.0,98.6
959,Mahindra KUV 100 G80 K8,2018,650000,6000,0,1,0,0,18.15,1198.0,82.0
960,Mahindra XUV500 W8 2WD,2013,950000,49700,1,1,0,0,15.1,2179.0,140.0
961,Toyota Innova 2.5 E Diesel MS 7-seater,2007,626000,80000,1,1,0,1,12.8,2494.0,102.0
962,Maruti Swift Dzire AMT VXI,2019,600000,10000,0,1,1,0,21.21,1197.0,81.8
963,Renault KWID RXT Optional,2019,290000,21000,0,1,0,0,25.17,799.0,53.3
964,Maruti Alto K10 2010-2014 VXI,2013,215000,25000,0,1,0,0,20.92,998.0,67.1
965,Renault KWID RXT Optional,2016,250000,22000,0,1,0,0,25.17,799.0,53.3
966,Maruti Ertiga SHVS ZDI Plus,2017,750000,50000,1,1,0,0,24.52,1248.0,88.5
967,Maruti Alto K10 VXI,2016,250000,20000,0,1,0,1,23.95,998.0,67.05
968,Honda BRV i-VTEC V CVT,2017,950000,15000,0,1,1,0,15.4,1497.0,117.3
969,Ford Figo Aspire 1.5 TDCi Titanium,2018,793000,30000,1,1,0,0,25.83,1498.0,99.0
970,Hyundai Creta 1.6 CRDi SX Option,2015,750000,74000,1,1,0,0,19.67,1582.0,126.2
971,Honda Jazz V CVT,2017,725000,6550,0,1,1,0,18.2,1199.0,88.7
972,Hyundai Grand i10 CRDi Sportz,2016,480000,30000,1,1,0,0,24.0,1120.0,70.0
